N,Time (ms),Memory (GB),BACKBONE_SIZE
1,36.86454391479492,0.38730287551879883,base
2,52.80732727050781,0.4346280097961426,base
4,92.72480010986328,0.5377740859985352,base
8,185.29827880859375,0.7448053359985352,base
16,354.0754089355469,1.1578030586242676,base
32,696.5438842773438,1.981201171875,base
64,1384.423828125,3.629828453063965,base
128,2757.228515625,6.9270830154418945,base
256,5769.21923828125,13.525376319885254,base
1,16.475872039794922,0.12038087844848633,small
2,21.577312469482422,0.1456904411315918,small
4,41.57449722290039,0.20015859603881836,small
8,70.81484985351562,0.31079816818237305,small
16,128.94505310058594,0.5303287506103516,small
32,268.0113220214844,0.9705557823181152,small
64,530.934814453125,1.8473477363586426,small
128,1026.0267333984375,3.6045937538146973,small
256,2096.168701171875,7.115423679351807,small
512,4222.58984375,14.142698764801025,small
1,80.93103790283203,1.2154412269592285,large
2,149.8799285888672,1.277367115020752,large
4,274.3893127441406,1.4139137268066406,large
8,528.97802734375,1.6842327117919922,large
16,1060.970458984375,2.2242274284362793,large
32,2114.332275390625,3.3070249557495117,large
64,4240.11572265625,5.470300674438477,large
128,8303.6025390625,9.795387268066406,large
1,240.19888305664062,4.412785053253174,giant
2,443.9727478027344,4.528005599975586,giant
4,902.288818359375,4.773943901062012,giant
8,1782.9202880859375,5.267702102661133,giant
16,2941.212158203125,6.249959468841553,giant
32,6900.83056640625,8.22066593170166,giant
64,14171.638671875,12.160614013671875,giant

