dataset,model,horizon,MAE,RMSE,MAPE
PEMS04,Persistence,1,21.232641220092773,34.2731819152832,13.715283393859863
PEMS04,Persistence,2,22.995098114013672,36.60294723510742,14.947555541992188
PEMS04,Persistence,3,24.9171199798584,38.99671936035156,16.28825569152832
PEMS04,Persistence,4,26.69730567932129,41.26654052734375,17.605390548706055
PEMS04,Persistence,5,28.4792423248291,43.544227600097656,18.89497947692871
PEMS04,Persistence,6,30.277807235717773,45.86677932739258,20.255292892456055
PEMS04,Persistence,7,32.303287506103516,48.487342834472656,21.80901336669922
PEMS04,Persistence,8,34.34700012207031,51.14568328857422,23.367916107177734
PEMS04,Persistence,9,36.38988494873047,53.85189437866211,24.97825050354004
PEMS04,Persistence,10,38.36772537231445,56.414344787597656,26.536762237548828
PEMS04,Persistence,11,40.33562469482422,58.939273834228516,28.265914916992188
PEMS04,Persistence,12,42.37784194946289,61.674190521240234,29.959701538085938
PEMS04,Persistence,avg,31.560049057006836,47.588592529296875,21.385360717773438
PEMS04,HistoricalAverage,1,26.042709350585938,41.66148376464844,17.437503814697266
PEMS04,HistoricalAverage,2,26.045499801635742,41.66397476196289,17.438800811767578
PEMS04,HistoricalAverage,3,26.04812240600586,41.66658401489258,17.437517166137695
PEMS04,HistoricalAverage,4,26.05088233947754,41.66913986206055,17.430036544799805
PEMS04,HistoricalAverage,5,26.053524017333984,41.671661376953125,17.4310245513916
PEMS04,HistoricalAverage,6,26.055824279785156,41.67335891723633,17.4306583404541
PEMS04,HistoricalAverage,7,26.057449340820312,41.67426300048828,17.425888061523438
PEMS04,HistoricalAverage,8,26.05862808227539,41.67484664916992,17.42635154724121
PEMS04,HistoricalAverage,9,26.059892654418945,41.67568588256836,17.42533302307129
PEMS04,HistoricalAverage,10,26.060916900634766,41.67624282836914,17.42421531677246
PEMS04,HistoricalAverage,11,26.06191062927246,41.67707061767578,17.423683166503906
PEMS04,HistoricalAverage,12,26.06283950805664,41.67783737182617,17.424049377441406
PEMS04,HistoricalAverage,avg,26.05484962463379,41.67184066772461,17.429588317871094
PEMS04,Ridge,1,18.574462890625,29.23785400390625,12.440293312072754
PEMS04,Ridge,2,19.600543975830078,30.968456268310547,13.238676071166992
PEMS04,Ridge,3,20.271947860717773,32.04202651977539,13.74539852142334
PEMS04,Ridge,4,20.72759246826172,32.78053283691406,14.064895629882812
PEMS04,Ridge,5,21.059667587280273,33.31321334838867,14.307418823242188
PEMS04,Ridge,6,21.388277053833008,33.82467269897461,14.5399808883667
PEMS04,Ridge,7,21.72262191772461,34.3221321105957,14.775713920593262
PEMS04,Ridge,8,21.978824615478516,34.718772888183594,14.985881805419922
PEMS04,Ridge,9,22.155841827392578,35.00335693359375,15.129846572875977
PEMS04,Ridge,10,22.361509323120117,35.31610107421875,15.26686954498291
PEMS04,Ridge,11,22.609176635742188,35.67298889160156,15.493515014648438
PEMS04,Ridge,12,22.93207550048828,36.155574798583984,15.720052719116211
PEMS04,Ridge,avg,21.281877517700195,33.61297607421875,14.475711822509766
PEMS08,Persistence,1,15.930624008178711,24.510602951049805,9.924495697021484
PEMS08,Persistence,2,17.761655807495117,27.21883773803711,10.96385383605957
PEMS08,Persistence,3,19.57010269165039,29.79443359375,11.972867965698242
PEMS08,Persistence,4,21.177350997924805,32.16804504394531,12.937090873718262
PEMS08,Persistence,5,22.680862426757812,34.41828918457031,13.889341354370117
PEMS08,Persistence,6,24.25025177001953,36.659637451171875,14.926433563232422
PEMS08,Persistence,7,25.957006454467773,39.01594161987305,15.991230010986328
PEMS08,Persistence,8,27.73050880432129,41.45383834838867,17.09208106994629
PEMS08,Persistence,9,29.526132583618164,43.76664733886719,18.244503021240234
PEMS08,Persistence,10,31.20520782470703,45.89229202270508,19.370487213134766
PEMS08,Persistence,11,32.87840270996094,48.061309814453125,20.478782653808594
PEMS08,Persistence,12,34.67842102050781,50.461631774902344,21.673425674438477
PEMS08,Persistence,avg,25.27887535095215,37.78512954711914,15.622050285339355
PEMS08,HistoricalAverage,1,23.27301025390625,40.570377349853516,14.501470565795898
PEMS08,HistoricalAverage,2,23.2681827545166,40.56049346923828,14.50538444519043
PEMS08,HistoricalAverage,3,23.264114379882812,40.5526008605957,14.507537841796875
PEMS08,HistoricalAverage,4,23.259496688842773,40.5445556640625,14.509573936462402
PEMS08,HistoricalAverage,5,23.255468368530273,40.536773681640625,14.511792182922363
PEMS08,HistoricalAverage,6,23.25052261352539,40.52825927734375,14.51418399810791
PEMS08,HistoricalAverage,7,23.245752334594727,40.52030944824219,14.518056869506836
PEMS08,HistoricalAverage,8,23.24060821533203,40.51102066040039,14.52137565612793
PEMS08,HistoricalAverage,9,23.236051559448242,40.5029411315918,14.525148391723633
PEMS08,HistoricalAverage,10,23.231895446777344,40.495731353759766,14.528055191040039
PEMS08,HistoricalAverage,11,23.226850509643555,40.4871940612793,14.53077507019043
PEMS08,HistoricalAverage,12,23.22219467163086,40.47999954223633,14.534250259399414
PEMS08,HistoricalAverage,avg,23.247846603393555,40.52418899536133,14.517300605773926
PEMS08,Ridge,1,15.064621925354004,22.861263275146484,9.412492752075195
PEMS08,Ridge,2,15.980167388916016,24.534423828125,9.989721298217773
PEMS08,Ridge,3,16.57512855529785,25.644371032714844,10.340417861938477
PEMS08,Ridge,4,16.988523483276367,26.470487594604492,10.567681312561035
PEMS08,Ridge,5,17.305986404418945,27.119552612304688,10.743846893310547
PEMS08,Ridge,6,17.615598678588867,27.73419952392578,10.918710708618164
PEMS08,Ridge,7,17.953691482543945,28.36046028137207,11.105143547058105
PEMS08,Ridge,8,18.199678421020508,28.837453842163086,11.244752883911133
PEMS08,Ridge,9,18.40143394470215,29.23426055908203,11.365680694580078
PEMS08,Ridge,10,18.594057083129883,29.627899169921875,11.484983444213867
PEMS08,Ridge,11,18.862850189208984,30.09467887878418,11.645403861999512
PEMS08,Ridge,12,19.21778106689453,30.676382064819336,11.889188766479492
PEMS08,Ridge,avg,17.56329345703125,27.599618911743164,10.892334938049316
PEMS07,Persistence,1,21.044649124145508,32.97246551513672,8.68567943572998
PEMS07,Persistence,2,24.181840896606445,37.437950134277344,10.085221290588379
PEMS07,Persistence,3,26.986061096191406,41.105159759521484,11.372065544128418
PEMS07,Persistence,4,29.43892478942871,44.406246185302734,12.540290832519531
PEMS07,Persistence,5,31.707338333129883,47.558231353759766,13.660950660705566
PEMS07,Persistence,6,34.0674934387207,50.80902862548828,14.847831726074219
PEMS07,Persistence,7,36.61997604370117,54.24575424194336,16.130680084228516
PEMS07,Persistence,8,39.24476623535156,57.69240188598633,17.448802947998047
PEMS07,Persistence,9,41.818763732910156,61.09019088745117,18.783843994140625
PEMS07,Persistence,10,44.2685546875,64.3621826171875,20.087921142578125
PEMS07,Persistence,11,46.7368049621582,67.78219604492188,21.42357635498047
PEMS07,Persistence,12,49.314239501953125,71.36815643310547,22.79016876220703
PEMS07,Persistence,avg,35.45245361328125,52.56916427612305,15.654751777648926
PEMS07,HistoricalAverage,1,30.298200607299805,56.63157272338867,12.786364555358887
PEMS07,HistoricalAverage,2,30.298097610473633,56.6319694519043,12.78819465637207
PEMS07,HistoricalAverage,3,30.298046112060547,56.63142013549805,12.789766311645508
PEMS07,HistoricalAverage,4,30.297697067260742,56.631080627441406,12.791259765625
PEMS07,HistoricalAverage,5,30.298690795898438,56.63289260864258,12.7933931350708
PEMS07,HistoricalAverage,6,30.299291610717773,56.6338996887207,12.795387268066406
PEMS07,HistoricalAverage,7,30.299320220947266,56.63392639160156,12.797382354736328
PEMS07,HistoricalAverage,8,30.2993106842041,56.63456344604492,12.799580574035645
PEMS07,HistoricalAverage,9,30.299131393432617,56.63431167602539,12.801809310913086
PEMS07,HistoricalAverage,10,30.298664093017578,56.63388442993164,12.80394458770752
PEMS07,HistoricalAverage,11,30.29741859436035,56.6323356628418,12.806221961975098
PEMS07,HistoricalAverage,12,30.296321868896484,56.631752014160156,12.808267593383789
PEMS07,HistoricalAverage,avg,30.298349380493164,56.6328010559082,12.796798706054688
PEMS07,Ridge,1,19.23993492126465,29.811628341674805,8.075044631958008
PEMS07,Ridge,2,20.899627685546875,32.8018798828125,8.733122825622559
PEMS07,Ridge,3,21.807167053222656,34.453182220458984,9.078113555908203
PEMS07,Ridge,4,22.35502815246582,35.56958770751953,9.276206016540527
PEMS07,Ridge,5,22.776790618896484,36.42628479003906,9.4373140335083
PEMS07,Ridge,6,23.263700485229492,37.33708190917969,9.620649337768555
PEMS07,Ridge,7,23.74867057800293,38.23016357421875,9.812663078308105
PEMS07,Ridge,8,24.059612274169922,38.8703498840332,9.937835693359375
PEMS07,Ridge,9,24.304729461669922,39.42572784423828,10.044235229492188
PEMS07,Ridge,10,24.564298629760742,39.97140884399414,10.153938293457031
PEMS07,Ridge,11,24.96641731262207,40.70892333984375,10.328622817993164
PEMS07,Ridge,12,25.438867568969727,41.49092483520508,10.534684181213379
PEMS07,Ridge,avg,23.118736267089844,37.091426849365234,9.58603572845459
NYCTaxi,Persistence,1,20.894763946533203,34.53765869140625,21.73872184753418
NYCTaxi,Persistence,avg,20.894763946533203,34.53765869140625,21.73872184753418
NYCTaxi,HistoricalAverage,1,24.245283126831055,47.87627029418945,24.386028289794922
NYCTaxi,HistoricalAverage,avg,24.245283126831055,47.87627029418945,24.386028289794922
NYCTaxi,Ridge,1,19.675342559814453,32.10272979736328,22.14944839477539
NYCTaxi,Ridge,avg,19.675342559814453,32.10272979736328,22.14944839477539
